# Arabic Unicode inventory. Language-axis maps remain urdu_map / lang_*.csv (lossy).
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+FEA9	ﺩ	ARABIC LETTER DAL ISOLATED FORM
U+FEAA	ﺪ	ARABIC LETTER DAL FINAL FORM
U+FEAB	ﺫ	ARABIC LETTER THAL ISOLATED FORM
U+FEAC	ﺬ	ARABIC LETTER THAL FINAL FORM
U+FEAD	ﺭ	ARABIC LETTER REH ISOLATED FORM
U+FEAE	ﺮ	ARABIC LETTER REH FINAL FORM
U+FEAF	ﺯ	ARABIC LETTER ZAIN ISOLATED FORM
U+FEB0	ﺰ	ARABIC LETTER ZAIN FINAL FORM
U+FEB1	ﺱ	ARABIC LETTER SEEN ISOLATED FORM
U+FEB2	ﺲ	ARABIC LETTER SEEN FINAL FORM
U+FEB3	ﺳ	ARABIC LETTER SEEN INITIAL FORM
U+FEB4	ﺴ	ARABIC LETTER SEEN MEDIAL FORM
U+FEB5	ﺵ	ARABIC LETTER SHEEN ISOLATED FORM
U+FEB6	ﺶ	ARABIC LETTER SHEEN FINAL FORM
U+FEB7	ﺷ	ARABIC LETTER SHEEN INITIAL FORM
U+FEB8	ﺸ	ARABIC LETTER SHEEN MEDIAL FORM
U+FEB9	ﺹ	ARABIC LETTER SAD ISOLATED FORM
U+FEBA	ﺺ	ARABIC LETTER SAD FINAL FORM
U+FEBB	ﺻ	ARABIC LETTER SAD INITIAL FORM
U+FEBC	ﺼ	ARABIC LETTER SAD MEDIAL FORM
U+FEBD	ﺽ	ARABIC LETTER DAD ISOLATED FORM
U+FEBE	ﺾ	ARABIC LETTER DAD FINAL FORM
U+FEBF	ﺿ	ARABIC LETTER DAD INITIAL FORM
U+FEC0	ﻀ	ARABIC LETTER DAD MEDIAL FORM
U+FEC1	ﻁ	ARABIC LETTER TAH ISOLATED FORM
U+FEC2	ﻂ	ARABIC LETTER TAH FINAL FORM
U+FEC3	ﻃ	ARABIC LETTER TAH INITIAL FORM
U+FEC4	ﻄ	ARABIC LETTER TAH MEDIAL FORM
U+FEC5	ﻅ	ARABIC LETTER ZAH ISOLATED FORM
U+FEC6	ﻆ	ARABIC LETTER ZAH FINAL FORM
U+FEC7	ﻇ	ARABIC LETTER ZAH INITIAL FORM
U+FEC8	ﻈ	ARABIC LETTER ZAH MEDIAL FORM
U+FEC9	ﻉ	ARABIC LETTER AIN ISOLATED FORM
U+FECA	ﻊ	ARABIC LETTER AIN FINAL FORM
U+FECB	ﻋ	ARABIC LETTER AIN INITIAL FORM
U+FECC	ﻌ	ARABIC LETTER AIN MEDIAL FORM
U+FECD	ﻍ	ARABIC LETTER GHAIN ISOLATED FORM
U+FECE	ﻎ	ARABIC LETTER GHAIN FINAL FORM
U+FECF	ﻏ	ARABIC LETTER GHAIN INITIAL FORM
U+FED0	ﻐ	ARABIC LETTER GHAIN MEDIAL FORM
U+FED1	ﻑ	ARABIC LETTER FEH ISOLATED FORM
U+FED2	ﻒ	ARABIC LETTER FEH FINAL FORM
U+FED3	ﻓ	ARABIC LETTER FEH INITIAL FORM
U+FED4	ﻔ	ARABIC LETTER FEH MEDIAL FORM
U+FED5	ﻕ	ARABIC LETTER QAF ISOLATED FORM
U+FED6	ﻖ	ARABIC LETTER QAF FINAL FORM
U+FED7	ﻗ	ARABIC LETTER QAF INITIAL FORM
U+FED8	ﻘ	ARABIC LETTER QAF MEDIAL FORM
U+FED9	ﻙ	ARABIC LETTER KAF ISOLATED FORM
U+FEDA	ﻚ	ARABIC LETTER KAF FINAL FORM
U+FEDB	ﻛ	ARABIC LETTER KAF INITIAL FORM
U+FEDC	ﻜ	ARABIC LETTER KAF MEDIAL FORM
U+FEDD	ﻝ	ARABIC LETTER LAM ISOLATED FORM
U+FEDE	ﻞ	ARABIC LETTER LAM FINAL FORM
U+FEDF	ﻟ	ARABIC LETTER LAM INITIAL FORM
U+FEE0	ﻠ	ARABIC LETTER LAM MEDIAL FORM
U+FEE1	ﻡ	ARABIC LETTER MEEM ISOLATED FORM
U+FEE2	ﻢ	ARABIC LETTER MEEM FINAL FORM
U+FEE3	ﻣ	ARABIC LETTER MEEM INITIAL FORM
U+FEE4	ﻤ	ARABIC LETTER MEEM MEDIAL FORM
U+FEE5	ﻥ	ARABIC LETTER NOON ISOLATED FORM
U+FEE6	ﻦ	ARABIC LETTER NOON FINAL FORM
U+FEE7	ﻧ	ARABIC LETTER NOON INITIAL FORM
U+FEE8	ﻨ	ARABIC LETTER NOON MEDIAL FORM
U+FEE9	ﻩ	ARABIC LETTER HEH ISOLATED FORM
U+FEEA	ﻪ	ARABIC LETTER HEH FINAL FORM
U+FEEB	ﻫ	ARABIC LETTER HEH INITIAL FORM
U+FEEC	ﻬ	ARABIC LETTER HEH MEDIAL FORM
U+FEED	ﻭ	ARABIC LETTER WAW ISOLATED FORM
U+FEEE	ﻮ	ARABIC LETTER WAW FINAL FORM
U+FEEF	ﻯ	ARABIC LETTER ALEF MAKSURA ISOLATED FORM
U+FEF0	ﻰ	ARABIC LETTER ALEF MAKSURA FINAL FORM
U+FEF1	ﻱ	ARABIC LETTER YEH ISOLATED FORM
U+FEF2	ﻲ	ARABIC LETTER YEH FINAL FORM
U+FEF3	ﻳ	ARABIC LETTER YEH INITIAL FORM
U+FEF4	ﻴ	ARABIC LETTER YEH MEDIAL FORM
U+FEF5	ﻵ	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
U+FEF6	ﻶ	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
U+FEF7	ﻷ	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM
U+FEF8	ﻸ	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM
U+FEF9	ﻹ	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW ISOLATED FORM
U+FEFA	ﻺ	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW FINAL FORM
U+FEFB	ﻻ	ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM
U+FEFC	ﻼ	ARABIC LIGATURE LAM WITH ALEF FINAL FORM
